CD4_S2	CD56_S2	CD4_S3	CD56_S3	CD19_S3	CD19_S2	CD56_S1	CD14_S3	CD14_S1	CD14_S2	CD19_S1	CD14_S4	CD4_S1	CD4_S4	CD56_S4	CD19_S4
hsa-miR-4692	255.06406169819	257.239305481999	386.687212650519	538.406680407358	507.66007381856	174.116681206135	284.490309148346	911.629711084246	795.017521774713	597.608568936241	237.448090478022	1403.91931247654	252.940606003578	457.401290288712	528.028632153634	547.19164175301
hsa-miR-6716-5p	247.617660519769	238.507593965522	384.327637274326	522.819914790391	502.167168691822	176.330028848586	263.15353596222	904.756105545938	782.149802266012	593.356291215293	231.465324233508	1396.4490075148	250.234920428824	454.419235738184	520.174537926626	542.504775442491
hsa-miR-500a-5p	980.939248570695	1243.58545846411	28.7868195895553	194.171303590088	34.6920323794005	415.592908997524	1707.75290182405	150.508259200899	423.597024471934	458.537280908842	174.008191809779	94.015171333319	1882.25526483765	146.005978570093	90.3220836106016	107.27716221853
hsa-miR-500b-5p	973.194991345137	1237.8658518942	23.5957537619306	188.036087336601	31.2228291414604	410.35465291039	1702.32512618898	143.776866190969	418.615971758888	451.722733279118	169.492896530901	85.2721477484665	1878.72967454327	137.977370164825	86.5011729055703	103.24124956225
hsa-miR-1915-5p	941.622250348631	1206.78932286432	34.4498004924187	188.948078941849	38.1612356173405	403.050605690303	1636.94226566541	154.869443404515	425.589445557152	445.780447745999	175.362780393443	91.8017476409513	1823.14013455286	146.80883941062	96.4779953020409	113.526317299221
hsa-miR-3651	473.988256343775	500.846881972363	523.731350499812	477.303242855738	415.437087743321	285.226732857168	341.700312106467	749.03338697115	417.038638399757	841.623890461384	254.662653728746	685.05463278781	470.871280479271	386.864230728141	479.842702706851	314.410614997268
hsa-miR-199a-3p	243.745531906989	166.345224408407	122.603536546991	252.207133014965	172.231485750232	109.92959957506	123.466298641354	1081.66849084917	738.150503300774	1030.46863437628	54.2964257285137	1307.19269712007	125.281441158336	668.09491372411	301.639672880528	249.185058842555
hsa-miR-199b-3p	243.745531906989	166.345224408407	122.603536546991	252.207133014965	172.231485750232	109.92959957506	123.466298641354	1081.66849084917	738.150503300774	1030.46863437628	54.2964257285137	1307.19269712007	125.281441158336	668.09491372411	301.639672880528	249.185058842555
hsa-miR-629-5p	382.447164523716	291.080311020672	330.151786636933	354.930551096997	441.311561892957	229.450372267406	221.478201201015	783.022181253683	553.021377465906	727.630137711367	239.254208589573	954.53896733358	387.077018133839	410.720667132367	358.31651500516	312.848326227095
hsa-miR-6789-5p	686.35961795235	965.374262225755	115.996725493651	297.806713277368	134.865275874919	395.746558470215	1225.49191723705	156.481185392808	262.418460432295	322.191811933332	298.912547461755	130.093977518913	1434.75126886762	196.242128305914	206.010768846272	252.700208575444
hsa-miR-4273	1050.24042220454	298.658789725811	1123.25226208294	338.597610530282	603.641363401568	914.186354586956	186.852735942828	75.8466818020277	24.2826319760981	77.7403593598869	232.086177334354	212.710016836538	226.457683559768	1242.025720295	709.521890642622	1582.07776126162
hsa-miR-3613-5p	30.2820314589132	142.322876814758	34.355417477371	136.88164911496	65.987136588318	64.7035294143136	120.721216710976	988.519284761052	1124.84622892356	1269.63199798906	40.9198634648362	722.73817115037	70.4298154155831	260.241606736481	112.292320164532	55.0706791485898
hsa-miR-127-3p	540.112298808156	585.878366311789	402.543559178536	312.730212272337	384.792459141517	518.734909135734	319.926821340508	385.917397843942	186.830985511825	287.137778926034	348.524354338432	621.97205755533	467.91962348863	547.665787645086	531.106587999354	567.891967957799
hsa-miR-130b-5p	49.9405305699453	155.144328208987	63.8973011873081	256.767091041205	67.5049130049167	36.4464578456909	200.203816240579	1011.8895435913	646.748186016384	785.581050754537	32.3972436259531	1041.24984048209	180.13306690109	399.71000417657	225.433731596848	110.011167566332
hsa-miR-29b-3p	1379.86778103598	362.670719920794	1001.40378965634	212.991493989298	705.766033718428	958.084416162231	211.620861541927	64.4222753555973	27.354281149143	57.0786509465649	628.8677499658	69.7228463095832	365.595514479727	366.79270971497	427.835862555035	440.956005381262
hsa-miR-4789-5p	942.019391744813	270.442063980889	793.855539566394	475.313442989742	529.993069662799	713.06683214292	529.426483208961	74.8037899272498	17.9317897669648	98.7291660594355	424.832844551478	133.192770688228	483.087860801648	410.835361538156	619.199807032021	534.172568668237
hsa-miR-99b-5p	1087.57171344569	337.981084893988	1088.33054651529	412.800563866374	142.598708092827	107.347360658867	139.125743289651	101.587149438591	36.81828130393	172.544345984602	23.1408883042522	324.432577708799	1474.68062871325	1051.40361787277	470.184289535799	341.229905551901
